,No,Operator,Product,Description,Normal Price,Price,Discount,Kuota,Durasi
0,1,xl,xtra hotrod special,kuota utama 500mb + kuota area hingga 3.5gb + youtube 24jam 1.5gb. masa aktif 7 hari. tidak berlaku perpanjangan otomatis.,11941,11200,741,2gb,7hr
1,2,xl,xtra hotrod special,kuota utama 1gb + kuota area hingga 6gb + youtube 24jam 2gb. masa aktif 7 hari. tidak berlaku perpanjangan otomatis.,14889,14000,889,3gb,7hr
2,3,axis,bronet mini,kuota internet 1.5gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,14850,13973,877,1.5gb,7hr
3,4,telkomsel,telkomsel data flash,"kuota utama 1gb, masa aktif 30 hari",24280,23550,730,1gb,30hr
4,5,axis,bronet mini,kuota internet 2gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,18849,16357,2492,2gb,7hr
5,6,xl,xtra hotrod special,kuota utama 1.5gb + kuota area hingga 8.5gb + youtube 24jam 3gb. masa aktif 7 hari. tidak berlaku perpanjangan otomatis.,19852,18725,1127,4.5gb,7hr
6,7,axis,aigo bronet mini,"kuota utama 3gb, kuota lokal mulai 2gb dan bonus kuota video/sosmed/games di area tertentu, masa aktif paket 15hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet mini tidak berlaku perpanjangan",22900,21050,1850,3gb,15hr
7,8,axis,paket internet axis bronet,kuota 2gb (2g/3g/4g) 24jam. masa aktif 60 hari.,29400,26875,2525,2gb,60hr
8,9,axis,bronet mini,kuota internet 5gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,29900,26300,3600,5gb,7hr
9,10,axis,bronet mini,kuota internet 8gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,34900,32450,2450,8gb,7hr
10,11,telkomsel,telkomsel data flash,"2gb all network, bebas zona, masa aktif 30 hari.",49980,47250,2730,2gb,0
11,12,axis,paket internet axis bronet,kuota 3gb (2g/3g/4g) 24jam. masa aktif 60 hari.,36999,33850,3149,3gb,0
12,13,telkomsel,telkomsel data flash,"3gb all network, bebas zona, masa aktif 30 hari.",57280,54500,2780,3gb,0
13,14,xl,xtra combo flex basic,5gb kuota utama + kuota area hingga 5gb + 5min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,45000,41225,3775,4gb,0
14,15,telkomsel,telkomsel data flash,"4gb all network, bebas zona, masa aktif 30 hari.",76680,69500,7180,4gb,0
15,16,xl,akrab,10gb kuota bersama + bonus kuota pribadi hingga 9gb per anggota + unlimited kuota aplikasi + unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,62000,60475,1525,28gb,30hr
16,17,xl,xtra combo flex plus,10gb kuota utama + kuota area hingga 14gb + 20min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,65000,61750,3250,10gb,0
17,18,indosat,freedom internet,"• kuota utama 18gb, masa aktif 30 hari • bonus tambahan kuota zona hingga 18gb, jika registrasi paket di zona kuota plus freedom internet. info im3.do/kuotaplusec • baru! nelpon sepuasnya ke sesama im3 & tri, suara lebih jernih didukung jaringan volte • pembelian paket akan menggantikan paket yang masih aktif",65900,62700,3200,18gb,0
18,19,indosat,freedom internet,"• kuota utama 28gb, masa aktif 30 hari • bonus tambahan kuota zona hingga 28gb, jika registrasi paket di zona kuota plus freedom internet. info im3.do/kuotaplusec • baru! nelpon sepuasnya ke sesama im3 & tri, suara lebih jernih didukung jaringan volte • pembelian paket akan menggantikan paket yang masih aktif",87400,83600,3800,28gb,0
19,20,indosat,freedom u,"• kuota utama 10gb + kuota youtube, netflix, instagram, zoom & apps 35gb. • kelebihan penggunaan apps akan menggunakan kuota utama. • pulsa safe hingga 64kbps berlaku jika kuota utama habis. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.",105500,101650,3850,45gb,30hr
20,21,indosat,freedom internet,"• kuota utama 44gb, masa aktif 30 hari • bonus tambahan kuota zona hingga 44gb, jika registrasi paket di zona kuota plus freedom internet. info im3.do/kuotaplusec • baru! nelpon sepuasnya ke sesama im3 & tri, suara lebih jernih didukung jaringan volte • pembelian paket akan menggantikan paket yang masih aktif",109750,104500,5250,44gb,0
21,22,xl,xtra combo flex ultra,35gb kuota utama + kuota area hingga 40gb + 40min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,135000,120150,14850,35gb,0
22,23,xl,xtra combo flex supreme,48gb kuota utama + kuota area hingga 67gb + 60min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,185000,164650,20350,48gb,0
